1	7	_	CD	CD	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	In	_	IN	IN	_	4	mark	_	_
2	order	_	NN	NN	_	4	dep	_	_
3	to	_	TO	TO	_	4	aux	_	_
4	protect	_	VB	VB	_	0	null	_	_
5	our	_	PRP$	PRP$	_	6	poss	_	_
6	customers	_	NNS	NNS	_	4	dobj	_	_
7	and	_	CC	CC	_	4	cc	_	_
8	us	_	PRP	PRP	_	16	prep	_	_
9	from	_	IN	IN	_	8	dep	_	_
10	fraud	_	NN	NN	_	9	pobj	_	_
11	and	_	CC	CC	_	10	cc	_	_
12	theft	_	NN	NN	_	10	conj	_	_
13	,	_	,	,	_	16	punct	_	_
14	we	_	PRP	PRP	_	16	nsubj	_	_
15	may	_	MD	MD	_	16	aux	_	_
16	pass	_	VB	VB	_	4	conj	_	_
17	on	_	IN	IN	_	16	prep	_	_
18	information	_	NN	NN	_	17	pobj	_	_
19	that	_	IN	IN	_	21	complm	_	_
20	we	_	PRP	PRP	_	21	nsubj	_	_
21	obtain	_	VB	VB	_	18	ccomp	_	_
22	from	_	IN	IN	_	21	prep	_	_
23	making	_	VBG	VBG	_	22	pcomp	_	_
24	identity	_	NN	NN	_	25	nn	_	_
25	checks	_	NNS	NNS	_	23	dobj	_	_
26	and	_	CC	CC	_	25	cc	_	_
27	other	_	JJ	JJ	_	28	amod	_	_
28	information	_	NN	NN	_	25	conj	_	_
29	in	_	IN	IN	_	28	prep	_	_
30	our	_	PRP$	PRP$	_	32	poss	_	_
31	customer	_	NN	NN	_	32	nn	_	_
32	records	_	NNS	NNS	_	29	pobj	_	_
33	,	_	,	,	_	21	punct	_	_
34	including	_	VBG	VBG	_	21	prep	_	_
35	how	_	WRB	WRB	_	37	advmod	_	_
36	you	_	PRP	PRP	_	37	nsubj	_	_
37	conduct	_	VB	VB	_	34	ccomp	_	_
38	your	_	PRP$	PRP$	_	39	poss	_	_
39	account	_	NN	NN	_	37	dobj	_	_
40	,	_	,	,	_	21	punct	_	_
41	to	_	TO	TO	_	21	prep	_	_
